,DateTime,Day,Month,Day reg,Night reg,L1 reg,spare1,m1,m2,m3,m4,m5,m6,spare1,M1.2,M2.2,M3.2,M4.2,M5.2,M6.2
100,2014-11-14,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
101,2014-11-15,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
102,2014-11-16,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
103,2014-11-17,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
104,2014-11-18,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
105,2014-11-19,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
106,2014-11-20,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
107,2014-11-21,Fri,,m5,m3,,,,,N,,D,,,,,,,,
108,2014-11-22,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
109,2014-11-23,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
110,2014-11-24,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
111,2014-11-25,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
112,2014-11-26,Wed,5,m6,M6.2,,,,,,,,D,,,,,,,N
113,2014-11-27,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
114,2014-11-28,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
115,2014-11-29,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
116,2014-11-30,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
117,2014-12-01,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
118,2014-12-02,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
119,2014-12-03,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
120,2014-12-04,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
121,2014-12-05,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
122,2014-12-06,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
123,2014-12-07,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
124,2014-12-08,Mon,,m3,m1,,,N,,D,,,,,,,,,,
125,2014-12-09,Tue,,m3,m1,,,N,,D,,,,,,,,,,
126,2014-12-10,Wed,,m3,m1,,,N,,D,,,,,,,,,,
127,2014-12-11,Thu,,m3,m1,,,N,,D,,,,,,,,,,
128,2014-12-12,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
129,2014-12-13,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
130,2014-12-14,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
131,2014-12-15,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
132,2014-12-16,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
133,2014-12-17,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
134,2014-12-18,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
135,2014-12-19,Fri,,m5,m3,,,,,N,,D,,,,,,,,
136,2014-12-20,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
137,2014-12-21,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
138,2014-12-22,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
139,2014-12-23,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
140,2014-12-24,Wed,6,m6,M6.2,,,,,,,,D,,,,,,,N
141,2014-12-25,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
142,2014-12-26,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
143,2014-12-27,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
144,2014-12-28,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
145,2014-12-29,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
146,2014-12-30,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
147,2014-12-31,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
148,2015-01-01,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
149,2015-01-02,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
150,2015-01-03,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
151,2015-01-04,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
152,2015-01-05,Mon,,m3,m1,,,N,,D,,,,,,,,,,
153,2015-01-06,Tue,,m3,m1,,,N,,D,,,,,,,,,,
154,2015-01-07,Wed,,m3,m1,,,N,,D,,,,,,,,,,
155,2015-01-08,Thu,,m3,m1,,,N,,D,,,,,,,,,,
156,2015-01-09,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
157,2015-01-10,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
158,2015-01-11,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
159,2015-01-12,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
160,2015-01-13,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
161,2015-01-14,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
162,2015-01-15,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
163,2015-01-16,Fri,,m5,m3,,,,,N,,D,,,,,,,,
164,2015-01-17,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
165,2015-01-18,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
166,2015-01-19,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
167,2015-01-20,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
168,2015-01-21,Wed,7,m6,M6.2,,,,,,,,D,,,,,,,N
169,2015-01-22,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
170,2015-01-23,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
171,2015-01-24,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
172,2015-01-25,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
173,2015-01-26,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
174,2015-01-27,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
175,2015-01-28,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
176,2015-01-29,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
177,2015-01-30,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
178,2015-01-31,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
179,2015-02-01,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
180,2015-02-02,Mon,,m3,m1,,,N,,D,,,,,,,,,,
181,2015-02-03,Tue,,m3,m1,,,N,,D,,,,,,,,,,
182,2015-02-04,Wed,,m3,m1,,,N,,D,,,,,,,,,,
183,2015-02-05,Thu,,m3,m1,,,N,,D,,,,,,,,,,
184,2015-02-06,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
185,2015-02-07,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
186,2015-02-08,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
187,2015-02-09,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
188,2015-02-10,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
189,2015-02-11,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
190,2015-02-12,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
191,2015-02-13,Fri,,m5,m3,,,,,N,,D,,,,,,,,
192,2015-02-14,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
193,2015-02-15,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
194,2015-02-16,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
195,2015-02-17,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
196,2015-02-18,Wed,8,m6,M6.2,,,,,,,,D,,,,,,,N
197,2015-02-19,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
198,2015-02-20,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
199,2015-02-21,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
200,2015-02-22,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
201,2015-02-23,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
202,2015-02-24,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
203,2015-02-25,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
204,2015-02-26,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
205,2015-02-27,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
206,2015-02-28,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
207,2015-03-01,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
208,2015-03-02,Mon,,m3,m1,,,N,,D,,,,,,,,,,
209,2015-03-03,Tue,,m3,m1,,,N,,D,,,,,,,,,,
210,2015-03-04,Wed,,m3,m1,,,N,,D,,,,,,,,,,
211,2015-03-05,Thu,,m3,m1,,,N,,D,,,,,,,,,,
212,2015-03-06,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
213,2015-03-07,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
214,2015-03-08,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
215,2015-03-09,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
216,2015-03-10,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
217,2015-03-11,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
218,2015-03-12,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
219,2015-03-13,Fri,,m5,m3,,,,,N,,D,,,,,,,,
220,2015-03-14,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
221,2015-03-15,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
222,2015-03-16,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
223,2015-03-17,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
224,2015-03-18,Wed,9,m6,M6.2,,,,,,,,D,,,,,,,N
225,2015-03-19,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
226,2015-03-20,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
227,2015-03-21,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
228,2015-03-22,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
229,2015-03-23,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
230,2015-03-24,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
231,2015-03-25,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
232,2015-03-26,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
233,2015-03-27,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
234,2015-03-28,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
235,2015-03-29,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
236,2015-03-30,Mon,,m3,m1,,,N,,D,,,,,,,,,,
237,2015-03-31,Tue,,m3,m1,,,N,,D,,,,,,,,,,
238,2015-04-01,Wed,,m3,m1,,,N,,D,,,,,,,,,,
239,2015-04-02,Thu,,m3,m1,,,N,,D,,,,,,,,,,
240,2015-04-03,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
241,2015-04-04,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
242,2015-04-05,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
243,2015-04-06,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
244,2015-04-07,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
245,2015-04-08,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
246,2015-04-09,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
247,2015-04-10,Fri,,m5,m3,,,,,N,,D,,,,,,,,
248,2015-04-11,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
249,2015-04-12,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
250,2015-04-13,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
251,2015-04-14,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
252,2015-04-15,Wed,10,m6,M6.2,,,,,,,,D,,,,,,,N
253,2015-04-16,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
254,2015-04-17,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
255,2015-04-18,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
256,2015-04-19,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
257,2015-04-20,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
258,2015-04-21,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
259,2015-04-22,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
260,2015-04-23,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
261,2015-04-24,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
262,2015-04-25,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
263,2015-04-26,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
264,2015-04-27,Mon,,m3,m1,,,N,,D,,,,,,,,,,
265,2015-04-28,Tue,,m3,m1,,,N,,D,,,,,,,,,,
266,2015-04-29,Wed,,m3,m1,,,N,,D,,,,,,,,,,
267,2015-04-30,Thu,,m3,m1,,,N,,D,,,,,,,,,,
268,2015-05-01,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
269,2015-05-02,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
270,2015-05-03,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
271,2015-05-04,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
272,2015-05-05,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
273,2015-05-06,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
274,2015-05-07,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
275,2015-05-08,Fri,,m5,m3,,,,,N,,D,,,,,,,,
276,2015-05-09,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
277,2015-05-10,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
278,2015-05-11,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
279,2015-05-12,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
280,2015-05-13,Wed,11,m6,M6.2,,,,,,,,D,,,,,,,N
281,2015-05-14,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
282,2015-05-15,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
283,2015-05-16,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
284,2015-05-17,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
285,2015-05-18,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
286,2015-05-19,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
287,2015-05-20,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
288,2015-05-21,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
289,2015-05-22,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
290,2015-05-23,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
291,2015-05-24,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
292,2015-05-25,Mon,,m3,m1,,,N,,D,,,,,,,,,,
293,2015-05-26,Tue,,m3,m1,,,N,,D,,,,,,,,,,
294,2015-05-27,Wed,,m3,m1,,,N,,D,,,,,,,,,,
295,2015-05-28,Thu,,m3,m1,,,N,,D,,,,,,,,,,
296,2015-05-29,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
297,2015-05-30,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
298,2015-05-31,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
299,2015-06-01,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
300,2015-06-02,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
301,2015-06-03,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
302,2015-06-04,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
303,2015-06-05,Fri,,m5,m3,,,,,N,,D,,,,,,,,
304,2015-06-06,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
305,2015-06-07,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
306,2015-06-08,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
307,2015-06-09,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
308,2015-06-10,Wed,12,m6,M6.2,,,,,,,,D,,,,,,,N
309,2015-06-11,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
310,2015-06-12,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
311,2015-06-13,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
312,2015-06-14,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
313,2015-06-15,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
314,2015-06-16,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
315,2015-06-17,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
316,2015-06-18,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
317,2015-06-19,Fri,,M1.2,M2.2,,,,,,,,,,D,N,,,,
318,2015-06-20,Sat,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
319,2015-06-21,Sun,,M1.2,M2.2,M4.2,,,,,,,,,D,N,,W,,
320,2015-06-22,Mon,,m3,m1,,,N,,D,,,,,,,,,,
321,2015-06-23,Tue,,m3,m1,,,N,,D,,,,,,,,,,
322,2015-06-24,Wed,,m3,m1,,,N,,D,,,,,,,,,,
323,2015-06-25,Thu,,m3,m1,,,N,,D,,,,,,,,,,
324,2015-06-26,Fri,,m2,M3.2,,,,D,,,,,,,,N,,,
325,2015-06-27,Sat,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
326,2015-06-28,Sun,,m2,M3.2,m4,,,D,,W,,,,,,N,,,
327,2015-06-29,Mon,,M5.2,M1.2,,,,,,,,,,N,,,,D,
328,2015-06-30,Tue,,M5.2,M1.2,,,,,,,,,,N,,,,D,
329,2015-07-01,Wed,,M5.2,M1.2,,,,,,,,,,N,,,,D,
330,2015-07-02,Thu,,M5.2,M1.2,,,,,,,,,,N,,,,D,
331,2015-07-03,Fri,,m5,m3,,,,,N,,D,,,,,,,,
332,2015-07-04,Sat,,m5,m3,,,,,N,,D,,,,,,W,,
333,2015-07-05,Sun,,m5,m3,,,,,N,,D,,,,,,W,,
334,2015-07-06,Mon,,m6,m6,M6.2,,,,,,,D,,,,,,,N
335,2015-07-07,Tue,,m6,m6,M6.2,,,,,,,D,,,,,,,N
336,2015-07-08,Wed,13,m6,M6.2,,,,,,,,D,,,,,,,N
337,2015-07-09,Thu,,m6,M6.2,,,,,,,,D,,,,,,,N
338,2015-07-10,Fri,,m1,M5.2,,,D,,,,,,,,,,,N,
339,2015-07-11,Sat,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
340,2015-07-12,Sun,,m1,M5.2,m4,,D,,,W,,,,,,,,N,
341,2015-07-13,Mon,,M3.2,m5,,,,,,,N,,,,,D,,,
342,2015-07-14,Tue,,M3.2,m5,,,,,,,N,,,,,D,,,
343,2015-07-15,Wed,,M3.2,m5,,,,,,,N,,,,,D,,,
344,2015-07-16,Thu,,M3.2,m5,,,,,,,N,,,,,D,,,
