,DateTime,Day,Day reg,Night reg,L1 reg
270,2015-05-03,Sun,name11,name4,name14
271,2015-05-04,Mon,name7,name2,
272,2015-05-05,Tue,name7,name2,
273,2015-05-06,Wed,name7,name2,
274,2015-05-07,Thu,name7,name2,
275,2015-05-08,Fri,name15,name12,
276,2015-05-09,Sat,name15,name12,
277,2015-05-10,Sun,name15,name12,
278,2015-05-11,Mon,name1,name1,name8
279,2015-05-12,Tue,name1,name1,name8
280,2015-05-13,Wed,name2,name9,
281,2015-05-14,Thu,name2,name9,
282,2015-05-15,Fri,name11,name8,
283,2015-05-16,Sat,name11,name8,name15
284,2015-05-17,Sun,name11,name8,name15
285,2015-05-18,Mon,name5,name1,
286,2015-05-19,Tue,name5,name1,
287,2015-05-20,Wed,name5,name1,
288,2015-05-21,Thu,name5,name1,
289,2015-05-22,Fri,name3,name4,
290,2015-05-23,Sat,name3,name4,name7
291,2015-05-24,Sun,name3,name4,name7
292,2015-05-25,Mon,name13,name11,
293,2015-05-26,Tue,name13,name11,
294,2015-05-27,Wed,name13,name11,
295,2015-05-28,Thu,name13,name11,
296,2015-05-29,Fri,name12,name5,
297,2015-05-30,Sat,name12,name5,name15
298,2015-05-31,Sun,name12,name5,name15
299,2015-06-01,Mon,name8,name3,
300,2015-06-02,Tue,name8,name3,
301,2015-06-03,Wed,name8,name3,
302,2015-06-04,Thu,name8,name3,
303,2015-06-05,Fri,name1,name13,
304,2015-06-06,Sat,name1,name13,
305,2015-06-07,Sun,name1,name13,
306,2015-06-08,Mon,name2,name2,name9
307,2015-06-09,Tue,name2,name2,name9
308,2015-06-10,Wed,name3,name10,
309,2015-06-11,Thu,name3,name10,
310,2015-06-12,Fri,name12,name9,
311,2015-06-13,Sat,name12,name9,name1
312,2015-06-14,Sun,name12,name9,name1
313,2015-06-15,Mon,name6,name2,
314,2015-06-16,Tue,name6,name2,
315,2015-06-17,Wed,name6,name2,
316,2015-06-18,Thu,name6,name2,
317,2015-06-19,Fri,name4,name5,
318,2015-06-20,Sat,name4,name5,name8
319,2015-06-21,Sun,name4,name5,name8
320,2015-06-22,Mon,name14,name12,
321,2015-06-23,Tue,name14,name12,
322,2015-06-24,Wed,name14,name12,
323,2015-06-25,Thu,name14,name12,
324,2015-06-26,Fri,name13,name6,
325,2015-06-27,Sat,name13,name6,name1
326,2015-06-28,Sun,name13,name6,name1
327,2015-06-29,Mon,name9,name4,
328,2015-06-30,Tue,name9,name4,
329,2015-07-01,Wed,name9,name4,
330,2015-07-02,Thu,name9,name4,
331,2015-07-03,Fri,name2,name14,
332,2015-07-04,Sat,name2,name14,
333,2015-07-05,Sun,name2,name14,
334,2015-07-06,Mon,name3,name3,name10
335,2015-07-07,Tue,name3,name3,name10
336,2015-07-08,Wed,name4,name11,
337,2015-07-09,Thu,name4,name11,
338,2015-07-10,Fri,name13,name10,
339,2015-07-11,Sat,name13,name10,name2
340,2015-07-12,Sun,name13,name10,name2
341,2015-07-13,Mon,name7,name3,
342,2015-07-14,Tue,name7,name3,
343,2015-07-15,Wed,name7,name3,
344,2015-07-16,Thu,name7,name3,
345,2015-07-17,Fri,name5,name6,
346,2015-07-18,Sat,name5,name6,name9
347,2015-07-19,Sun,name5,name6,name9
348,2015-07-20,Mon,name15,name13,
349,2015-07-21,Tue,name15,name13,
350,2015-07-22,Wed,name15,name13,
351,2015-07-23,Thu,name15,name13,
352,2015-07-24,Fri,name14,name7,
353,2015-07-25,Sat,name14,name7,name2
354,2015-07-26,Sun,name14,name7,name2
355,2015-07-27,Mon,name10,name5,
356,2015-07-28,Tue,name10,name5,
357,2015-07-29,Wed,name10,name5,
358,2015-07-30,Thu,name10,name5,
359,2015-07-31,Fri,name3,name15,
360,2015-08-01,Sat,name3,name15,
361,2015-08-02,Sun,name3,name15,
362,2015-08-03,Mon,name4,name4,name11
363,2015-08-04,Tue,name4,name4,name11
